# RJ Allowlist - IDs sem geofence (29 candidatos)
# Gerado a partir do output de check_geofences.js

cmk6ux6v6001mqqr33ulgsn00  # Chapéu Mangueira
cmk6ux5x1001jqqr3ux2pdk13  # Cruzada São Sebastião
cmk6ux6js001lqqr3di3r3xvd  # Morro da Babilônia
cmk6uwom40003qqr3uuwatypv  # Morro da Conceição
cmk6uxcsi0024qqr3zym6lnw9  # Morro da Mineira
cmk6uwnvh0001qqr377ziza29  # Morro da Providência
cmk6uwv67000mqqr3vkssj8vw  # Morro da Saúde
cmk6ux0dx0012qqr3sx949css  # Morro da Urca
cmk6ux7h3001oqqr3pjtmxcxo  # Morro de Santa Marta
cmk6uwpj20005qqr3rg5j0xwe  # Morro de Santa Teresa
cmk6uws0f000cqqr3wjkizs87  # Morro de São Carlos
cmk6uwtlb000hqqr3i5ozthxz  # Morro de São Carlos
cmk6ux8rf001sqqr38hes7gqf  # Morro do Borel
cmk6uwroh000bqqr34hp6vvcq  # Morro do Catumbi
cmk6uwt9x000gqqr3n1v9tozj  # Morro do Estácio
cmk6uwxoy000uqqr3wjft4o4d  # Morro do Fallet
cmk6uxbg50020qqr3l8u925pt  # Morro do Grajaú
cmk6uwo7w0002qqr3v5605hpv  # Morro do Livramento
cmk6uwvhk000nqqr3l2f8t72s  # Morro do Livramento
cmk6ux9zs001wqqr3qbpb63vq  # Morro do Maracanã
cmk6ux0pb0013qqr3dxuq209j  # Morro do Pasmado
cmk6uwpvm0006qqr3oznal2an  # Morro do Pinto
cmk6uwr250009qqr3jaiz54s5  # Morro do Russel
cmk6uwxdu000tqqr3e50a0of4  # Morro do Turano
cmk6uwsn6000eqqr3dg5pr9d0  # Morro do Turano
cmk6ux4c5001eqqr3s0rzr9pv  # Parque da Cidade
cmk6w2yvf0001x7mt4gre2vpg  # Rio das Pedras
cmk6w2zi60003x7mt4ee3j5iw  # Tijuquinha
cmk6w31k50008x7mtkc0akzm7  # Vila Valqueire
